params_x,params_y,params_z,user_attrs_top-1
125.0,154.7,0.2,-1.0
115.4,157.1,0.21,0.7578125
115.4,157.1,0.21,0.7578125
125.9,150.5,0.07,0.7578125
125.9,150.5,0.07,0.7578125
126.9,150.1,0.37,0.7578125
126.9,150.1,0.37,0.7578125
120.3,159.9,0.01,0.7578125
120.3,159.9,0.01,0.7578125
114.2,150.0,0.27,0.7578125
114.2,150.0,0.27,0.7578125
121.7,153.6,0.35000000000000003,0.7578125
121.7,153.6,0.35000000000000003,0.7578125
124.8,151.0,0.15,0.7578125
124.8,151.0,0.15,0.7578125
113.3,153.0,0.36,0.7578125
113.3,153.0,0.36,0.7578125
126.7,159.1,0.01,0.7578125
126.7,159.1,0.01,0.7578125
124.8,148.6,0.05,0.7578125
124.8,148.6,0.05,0.7578125
122.1,158.8,0.17,0.7578125
122.1,158.8,0.17,0.7578125
115.8,158.4,0.24,0.7578125
115.8,158.4,0.24,0.7578125
117.5,155.1,0.11,0.7578125
117.5,155.1,0.11,0.7578125
117.8,158.6,0.18,0.7578125
117.8,158.6,0.18,0.7578125
117.8,152.1,0.38,0.7578125
117.8,152.1,0.38,0.7578125
121.0,151.0,0.15,0.7578125
121.0,151.0,0.15,0.7578125
126.9,148.2,0.0,0.7578125
126.9,148.2,0.0,0.7578125
118.8,157.9,0.4,0.7578125
118.8,157.9,0.4,0.7578125
126.6,155.0,0.27,0.7578125
126.6,155.0,0.27,0.7578125
114.9,155.1,0.02,0.7578125
114.9,155.1,0.02,0.7578125
123.7,155.2,0.4,0.7578125
123.7,155.2,0.4,0.7578125
117.8,150.6,0.09,0.7578125
117.8,150.6,0.09,0.7578125
123.3,150.8,0.18,0.7578125
123.3,150.8,0.18,0.7578125
124.6,151.8,0.04,-1.0
124.6,151.8,0.04,-1.0
126.8,148.2,0.28,0.7578125
126.8,148.2,0.28,0.7578125
114.2,154.9,0.24,0.7578125
114.2,154.9,0.24,0.7578125
119.8,156.8,0.04,-1.0
119.8,156.8,0.04,-1.0
126.5,152.5,0.24,0.7578125
126.5,152.5,0.24,0.7578125
123.7,148.6,0.21,0.7578125
123.7,148.6,0.21,0.7578125
113.0,157.0,0.3,0.7578125
113.0,157.0,0.3,0.7578125
118.3,153.1,0.25,0.7578125
118.3,153.1,0.25,0.7578125
124.5,155.7,0.07,-1.0
124.5,155.7,0.07,-1.0
126.4,153.1,0.5,0.7578125
126.4,153.1,0.5,0.7578125
125.8,148.4,0.14,0.7578125
125.8,148.4,0.14,0.7578125
117.3,159.9,0.19,0.7578125
117.3,159.9,0.19,0.7578125
121.1,159.8,0.19,0.7578125
121.1,159.8,0.19,0.7578125
121.9,156.1,0.37,-1.0
121.9,156.1,0.37,-1.0
113.0,159.6,0.16,0.7578125
113.0,159.6,0.16,0.7578125
119.0,158.2,0.5,0.7578125
119.0,158.2,0.5,0.7578125
123.1,154.7,0.28,-1.0
123.1,154.7,0.28,0.7578125
115.9,155.2,0.42,0.7578125
115.9,155.2,0.42,0.7578125
126.6,154.7,0.4,0.7578125
126.6,154.7,0.4,0.7578125
120.1,153.7,0.38,0.7578125
120.1,153.7,0.38,0.7578125
116.6,150.9,0.38,0.7578125
116.6,150.9,0.38,0.7578125
121.3,153.2,0.3,0.7578125
121.3,153.2,0.3,0.7578125
116.7,157.6,0.41000000000000003,0.7578125
116.7,157.6,0.41000000000000003,0.7578125
