params_x,params_y,params_z,params_voltage,user_attrs_top-1
122.0,152.0,0.1,200,0.7578125
122.0,152.0,0.1,200,0.7578125
127.0,156.5,0.7000000000000001,350,0.7578125
127.0,156.5,0.7000000000000001,350,0.7578125
123.0,156.5,0.35000000000000003,250,0.7578125
123.0,156.5,0.35000000000000003,250,0.7578125
123.5,152.5,0.8,250,0.7578125
123.5,152.5,0.8,250,0.7578125
118.0,148.0,0.4,300,0.7578125
118.0,148.0,0.4,300,0.7578125
118.5,156.0,1.0,200,0.7578125
118.5,156.0,1.0,200,0.7578125
114.0,158.0,1.0,250,0.7578125
114.0,158.0,1.0,250,0.7578125
116.0,155.5,0.9500000000000001,250,0.7578125
116.0,155.5,0.9500000000000001,250,0.7578125
113.0,155.0,1.0,300,0.7578125
113.0,155.0,1.0,300,0.7578125
122.5,152.0,0.7000000000000001,350,0.7578125
122.5,152.0,0.7000000000000001,350,0.7578125
116.5,150.5,1.0,250,0.7578125
116.5,150.5,1.0,250,0.7578125
120.0,158.0,0.8,250,0.7578125
120.0,158.0,0.8,250,0.7578125
113.0,149.5,0.0,300,0.7578125
113.0,149.5,0.0,300,0.7578125
122.0,156.0,0.6000000000000001,350,0.7578125
122.0,156.0,0.6000000000000001,350,0.7578125
124.0,158.0,0.6000000000000001,250,0.7578125
124.0,158.0,0.6000000000000001,250,0.7578125
118.0,160.0,0.65,350,0.7578125
118.0,160.0,0.65,350,0.7578125
118.0,157.0,0.7000000000000001,300,0.7578125
118.0,157.0,0.7000000000000001,300,0.7578125
121.5,159.5,0.7000000000000001,300,0.7578125
121.5,159.5,0.7000000000000001,300,0.7578125
122.0,156.0,0.9,350,0.7578125
122.0,156.0,0.9,350,0.7578125
127.0,154.5,0.5,250,0.7578125
127.0,154.5,0.5,250,0.7578125
127.0,153.5,0.6000000000000001,350,0.7578125
127.0,153.5,0.6000000000000001,350,0.7578125
126.0,152.5,0.8,350,0.7578125
126.0,152.5,0.8,350,0.7578125
123.0,157.5,0.25,250,0.7578125
123.0,157.5,0.25,250,0.7578125
124.5,159.0,0.25,150,0.7578125
124.5,159.0,0.25,150,0.7578125
120.0,159.0,0.9500000000000001,300,0.7578125
120.0,159.0,0.9500000000000001,300,0.7578125
116.0,157.0,0.05,300,0.7578125
116.0,157.0,0.05,300,0.7578125
113.5,159.5,0.0,350,0.7578125
113.5,159.5,0.0,350,0.7578125
113.0,158.0,0.0,250,0.7578125
113.0,158.0,0.0,250,0.7578125
115.5,160.0,0.1,300,0.7578125
115.5,160.0,0.1,300,0.7578125
114.5,152.5,0.5,150,0.7578125
114.5,152.5,0.5,150,0.7578125
113.0,158.5,0.4,250,0.7578125
113.0,158.5,0.4,250,0.7578125
113.0,159.0,0.2,300,0.7578125
113.0,159.0,0.2,300,0.7578125
122.5,153.5,0.55,300,0.7578125
122.5,153.5,0.55,300,0.7578125
124.5,157.0,0.8500000000000001,150,0.7578125
124.5,157.0,0.8500000000000001,150,0.7578125
122.0,158.5,0.4,300,0.7578125
122.0,158.5,0.4,300,0.7578125
118.0,156.0,0.05,150,0.7578125
118.0,156.0,0.05,150,0.7578125
115.5,156.0,0.1,150,0.7578125
115.5,156.0,0.1,150,0.7578125
117.5,160.0,0.7000000000000001,250,0.7578125
117.5,160.0,0.7000000000000001,250,0.7578125
120.0,156.0,0.2,150,0.7578125
120.0,156.0,0.2,150,0.7578125
115.0,153.0,0.2,200,0.7578125
115.0,153.0,0.2,200,0.7578125
125.0,154.5,0.5,350,0.7578125
125.0,154.5,0.5,350,0.7578125
113.5,156.5,1.0,200,0.7578125
113.5,156.5,1.0,200,0.7578125
115.0,153.5,0.0,150,0.7578125
115.0,153.5,0.0,150,0.7578125
126.5,150.0,0.6000000000000001,300,0.7578125
126.5,150.0,0.6000000000000001,300,0.7578125
116.5,153.5,0.75,200,0.7578125
116.5,153.5,0.75,200,0.7578125
126.5,156.0,0.05,250,0.75
126.5,156.0,0.05,250,0.7578125
126.5,156.0,0.05,250,0.7578125
127.0,155.5,0.1,250,0.7578125
127.0,155.5,0.1,250,0.7578125
126.0,156.5,0.0,250,0.7578125
126.0,156.5,0.0,250,0.7578125
126.0,155.5,0.2,350,0.7578125
126.0,155.5,0.2,350,0.7578125
119.0,159.5,0.35000000000000003,200,0.7578125
119.0,159.5,0.35000000000000003,200,0.7578125
117.5,156.0,1.0,250,0.7578125
117.5,156.0,1.0,250,0.7578125
113.5,159.5,0.15000000000000002,150,0.7578125
113.5,159.5,0.15000000000000002,150,0.7578125
121.5,154.5,0.15000000000000002,300,0.75
121.5,154.5,0.15000000000000002,300,0.7578125
121.5,154.5,0.15000000000000002,300,0.7578125
124.5,153.5,0.05,200,0.7578125
124.5,153.5,0.05,200,0.7578125
119.5,154.5,0.15000000000000002,350,0.7578125
119.5,154.5,0.15000000000000002,350,0.125
119.5,154.5,0.15000000000000002,350,0.75
119.5,154.5,0.15000000000000002,350,-1.0
119.5,154.5,0.15000000000000002,350,0.7578125
119.5,154.5,0.15000000000000002,350,0.7578125
120.5,155.0,0.05,350,-1.0
120.5,155.0,0.05,350,-1.0
122.0,155.5,0.2,350,0.7578125
122.0,155.5,0.2,350,0.7578125
121.0,153.0,0.0,300,0.7578125
121.0,153.0,0.0,300,0.7578125
118.0,152.0,0.30000000000000004,350,-1.0
118.0,152.0,0.30000000000000004,350,-1.0
121.5,154.0,0.25,300,0.7578125
121.5,154.0,0.25,300,0.7578125
117.0,152.0,0.05,350,0.7578125
117.0,152.0,0.05,350,0.7578125
118.0,154.5,0.15000000000000002,350,-1.0
118.0,154.5,0.15000000000000002,350,-1.0
123.0,157.0,0.75,300,0.7578125
